"glacier1","date1","plot1","date2","plot2","Plot1","Plot2","beta.bact","time_diff","beta.coll","beta.euka.uni","beta.euka.animals","beta.fung","beta.inse","beta.olig","beta.sper","beta.all.ani"
"adigi",1949,"a",1981,"d","adigi_1981_d","adigi_1949_a",0.817460317460317,32,1,0.857142857142857,1,0.861538461538462,1,NA,1,1
"adigi",1949,"a",1981,"e","adigi_1981_e","adigi_1949_a",0.855670103092783,32,1,0.571428571428571,1,0.883116883116883,1,NA,1,1
"adigi",1949,"a",1981,"f","adigi_1981_f","adigi_1949_a",0.818181818181818,32,1,0.666666666666667,1,0.876923076923077,1,NA,0.8,1
"adigi",1949,"a",1981,"g","adigi_1981_g","adigi_1949_a",0.852631578947368,32,1,0.75,0.8,0.816666666666667,1,NA,1,0.958333333333333
"adigi",1949,"a",1981,"h","adigi_1981_h","adigi_1949_a",0.815126050420168,32,1,0.5,0.833333333333333,0.880597014925373,1,NA,1,0.96551724137931
"adigi",1949,"a",1981,"i","adigi_1981_i","adigi_1949_a",0.80952380952381,32,1,0.666666666666667,0.875,0.878787878787879,1,NA,0.8,0.962962962962963
"adigi",1949,"a",1981,"j","adigi_1981_j","adigi_1949_a",0.81767955801105,32,0,0.833333333333333,1,0.896551724137931,0.944444444444444,NA,1,0.91304347826087
"adigi",1949,"a",2010,"a","adigi_2010_a","adigi_1949_a",0.883495145631068,61,1,0.75,0.8,1,1,NA,1,0.954545454545455
"adigi",1949,"a",2010,"b","adigi_2010_b","adigi_1949_a",0.879310344827586,61,1,0.444444444444444,1,0.945454545454545,1,NA,1,1
"adigi",1949,"a",2010,"c","adigi_2010_c","adigi_1949_a",0.859504132231405,61,1,0.7,0.8,0.963636363636364,1,NA,1,0.96
"adigi",1949,"a",2010,"d","adigi_2010_d","adigi_1949_a",0.913793103448276,61,1,0.666666666666667,1,0.966666666666667,0.941176470588235,NA,1,0.956521739130435
"adigi",1949,"a",2010,"e","adigi_2010_e","adigi_1949_a",0.913793103448276,61,1,0.705882352941177,0.8,0.921875,1,NA,1,0.956521739130435
"adigi",1949,"b",1949,"c","adigi_1949_c","adigi_1949_b",0.577777777777778,0,1,0.5,0.5,0.592592592592593,0.733333333333333,NA,0.333333333333333,0.714285714285714
"adigi",1949,"b",1949,"d","adigi_1949_d","adigi_1949_b",0.738095238095238,0,0.666666666666667,0.4,0.714285714285714,0.67032967032967,0.5,NA,0.5,0.592592592592593
"adigi",1949,"b",1949,"e","adigi_1949_e","adigi_1949_b",0.565217391304348,0,0.625,0.625,0.571428571428571,0.675324675324675,0.583333333333333,NA,0.5,0.592592592592593
"adigi",1949,"b",1963,"a","adigi_1963_a","adigi_1949_b",0.846846846846847,14,1,0.666666666666667,0.666666666666667,0.936507936507937,1,NA,0.5,0.92
"adigi",1949,"b",1963,"b","adigi_1963_b","adigi_1949_b",0.725,14,0.8,0.727272727272727,1,0.880597014925373,0.846153846153846,NA,1,0.884615384615385
"adigi",1949,"b",1963,"c","adigi_1963_c","adigi_1949_b",0.807692307692308,14,1,0.571428571428571,1,0.949152542372881,1,NA,1,1
"adigi",1949,"b",1963,"d","adigi_1963_d","adigi_1949_b",0.722222222222222,14,1,0.5,0.714285714285714,0.941176470588235,1,NA,1,0.928571428571429
"adigi",1949,"b",1963,"e","adigi_1963_e","adigi_1949_b",0.823529411764706,14,1,0.5,1,1,1,NA,1,1
